24809,3,402,339,314
24826,2,238,307
25131,3,411,173,307
25148,3,402,339,314
25177,3,183,138,225
25344,3,411,173,307
25422,3,402,339,314
25601,3,183,138,225
25653,3,411,173,307
25744,2,238,307
25806,2,238,307
25885,3,411,173,307
25981,3,411,173,307
26044,3,183,138,225
26075,3,402,339,314
26172,3,183,138,225
26491,3,183,138,225
26496,3,193,124,236
26528,3,402,339,314
26542,3,402,339,314
26556,3,402,339,314
26566,3,183,138,225
26687,2,238,307
26782,3,193,124,236
26835,3,183,138,225
26836,3,193,124,236
26862,3,183,138,225
27136,3,183,158,225
27333,2,238,307
27425,3,411,173,307
27437,3,193,124,236
27487,3,183,158,225
27684,3,153,1,93
27766,3,153,1,93
27811,3,183,158,225
27815,3,411,173,307
27854,3,183,158,225
27871,3,402,394,314
27894,3,153,1,93
27902,3,193,124,236
27934,3,153,1,93
28022,3,183,158,225
28040,3,411,173,307
28044,3,153,1,93
28095,3,411,173,307
28117,3,193,124,236
28149,3,402,394,314
28253,3,402,394,314
28259,3,153,1,93
28308,3,402,394,314
28341,3,153,1,93
28368,3,193,124,236
28448,3,193,124,236
28452,3,411,173,307
28604,3,402,394,314
28737,3,402,394,314
28784,3,153,1,93
28840,3,183,158,225
28935,3,402,394,314
29021,3,153,1,93
29062,3,183,158,225
29071,3,411,173,307
29184,3,402,394,314
29233,3,153,1,93
29348,3,411,173,307
29470,3,402,394,314
29553,3,411,173,307
29591,3,183,158,225
29707,3,153,1,93
29716,3,411,173,307
29788,3,402,394,314
29799,3,183,188,225
29853,3,153,1,93
29993,3,411,317,307
30006,3,153,1,93
30017,3,411,317,307
30076,3,153,1,93
30109,3,411,317,307
30174,3,153,1,93
30191,3,402,394,314
30266,3,153,1,93
30300,3,183,188,225
30370,3,402,394,314
30431,3,402,394,314
30476,3,411,317,307
30761,3,193,124,236
30941,3,193,124,236
31005,3,153,1,93
31035,3,402,394,314
31085,3,193,124,236
31146,3,153,1,93
31279,3,153,1,93
31354,3,153,1,93
31454,3,402,394,314
31520,3,153,1,93
31595,3,193,124,263
31715,3,153,1,93
31785,3,153,1,93
31796,3,411,317,307
31969,3,183,188,225
32006,3,193,124,263
32067,3,153,1,93
32073,3,153,1,93
32108,3,411,317,307
32336,3,415,312,309
32381,3,153,1,93
32401,3,411,317,307
32418,3,153,3,93
32472,3,415,312,309
32532,3,193,124,263
32664,3,415,312,309
32680,3,183,188,225
32868,3,415,312,309
32952,3,153,3,93
32968,3,411,317,307
33057,3,153,3,93
33132,3,153,3,93
33168,3,153,3,93
33173,3,415,312,309
33269,3,411,317,307
33321,3,415,312,309
33382,3,193,124,263
33429,3,193,124,263
33459,3,153,3,93
33559,3,183,188,225
33648,3,415,320,309
33668,3,153,3,93
33709,3,411,317,307
33803,3,415,320,309
33809,3,193,124,263
33993,3,193,124,263
34028,3,153,3,93
34236,3,411,317,307
34240,3,415,320,309
34377,3,153,3,93
34478,3,153,3,93
34482,3,411,317,307
34505,3,411,317,307
34563,3,153,3,93
34590,3,153,3,93
34615,3,415,320,309
34625,3,411,317,307
34657,3,415,320,309
34679,3,415,320,309
34771,3,415,331,309
34797,3,415,331,309
